Census year,Block ID,Building address,Area,Name,Business address,Industry (ANZSIC4) code,Sub Theme,Seating type,Number of seats,Longitude,Latitude,Theme,Google Maps Rating
2023,23,419-429 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),The Whisky Boutique / Ms Collins,Part Gnd & Mezzanine 425 Collins Street MELBOURNE VIC 3000,4520,Bars and Pubs,Seats - Indoor,100,144.9606527,-37.81752824,Food & Drink,
2023,23,441-447 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),First Love Coffee Collins St,"Shop 4, Ground 441 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,26,144.9598972,-37.81802292,Food & Drink,
2023,23,388-394 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Saluministi,Part Ground 388-394 Flinders Lane MELBOURNE VIC 3000,4512,Takeaway Food,Seats - Indoor,4,144.9610582,-37.81799064,Food & Drink,
2023,25,258-260 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Shandong Mama Mini,"Shop 5, Centre Place MELBOURNE VIC 3000",4512,Takeaway Food,Seats - Indoor,16,144.9654744,-37.81664452,Food & Drink,
2023,25,258-260 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafe Vicolino,Shop 17 & 19 Centre Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,44,144.9654744,-37.81664452,Food & Drink,
2023,25,252-254 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Aix Cafe,24 Centre Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,13,144.9655965,-37.8166029,Food & Drink,
2023,25,252-254 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Eurolane Cafe,16-18 Centre Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,32,144.9655965,-37.8166029,Food & Drink,
2023,25,252-254 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Hell's Kitchen,Mezzanine 20A Centre Place MELBOURNE VIC 3000,4520,Bars and Pubs,Seats - Indoor,55,144.9655965,-37.8166029,Food & Drink,
2023,28,Collins Tower 25-45 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Pope Joan,"Shop 13-17, 45 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,80,144.9726256,-37.81430518,Food & Drink,
2023,28,Collins Place 45 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Asian Pavilion,"Shop 52, 45 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,14,144.9726256,-37.81430518,Food & Drink,
2023,252,110 Lygon Street CARLTON VIC 3053,Carlton,Ying Thai 2,110 Lygon Street CARLTON VIC 3053,4511,Cafes and Restaurants,Seats - Indoor,100,144.966702,-37.8044377,Food & Drink,
2023,32,468-478 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),AT THE GEORGE,"Shop 5, Ground 470 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,12,144.9583337,-37.81753764,Food & Drink,
2023,33,Metro Apartments Banks Place 18-20 Bank Place MELBOURNE VIC 3000,Melbourne (CBD),Curry Vault,18 Bank Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,14,144.9605228,-37.81642901,Food & Drink,
2023,33,433 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Dikstein's Corner Bar,433 Little Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,36,144.9603418,-37.81631387,Food & Drink,
2023,33,435-443 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Intimo,"Shop 3-4, 439-441 Little Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,50,144.9600973,-37.81639571,Food & Drink,
2023,33,103-105 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Chaise Lounge,Basement 105 Queen Street MELBOURNE VIC 3000,4520,Bars and Pubs,Seats - Indoor,40,144.9608119,-37.8161549,Food & Drink,
2023,34,308-336 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Brown Bagels,"Shop 10, 1-15 Equitable Place MELBOURNE VIC 3000",4512,Takeaway Food,Seats - Indoor,8,144.9634107,-37.81610875,Food & Drink,
2023,34,363-367 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Da Guido 365,"Unit 1, Ground 365 Little Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,58,144.9628116,-37.81581715,Food & Drink,
2023,35,92-94 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Art Masterclass Master Cafe,Shop Ground 94 Elizabeth Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,6,144.9641736,-37.8157323,Food & Drink,
2023,37,121-127 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Harry's At Stamford,Part Ground 121-127 Little Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,8,144.969766,-37.81369204,Food & Drink,
2023,38,93-101 Spring Street MELBOURNE VIC 3000,Melbourne (CBD),Cafe Excello,Ground 1-3 Little Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,28,144.9731824,-37.81259964,Food & Drink,
2023,41,582-584 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Saint & Rogue,582-584 Little Collins Street MELBOURNE VIC 3000,4520,Bars and Pubs,Seats - Indoor,120,144.9553519,-37.81741896,Food & Drink,
2023,47,The Metropolitan 137-141 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Ishizuka,"Shop B1, Basement 139 Bourke Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,16,144.9691673,-37.81279276,Food & Drink,
2023,246,111-113 Grattan Street CARLTON VIC 3053,Carlton,Dragon Hot Pot,111-113 Grattan Street CARLTON VIC 3053,4511,Cafes and Restaurants,Seats - Outdoor,10,144.9657699,-37.80081695,Food & Drink,
2023,54,408-412 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Corner & Bench,408 Bourke Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,40,144.9614819,-37.81440085,Food & Drink,
2023,54,383-385 Little Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Bincho Boss,383-385 Little Bourke Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,60,144.9614628,-37.81377467,Food & Drink,
2023,55,191-205 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Soul Cafe,"Shop 8, 195 Swanston Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,30,144.9650108,-37.8130993,Food & Drink,
2023,56,206-218 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),BlackBall at China Town,"Shop 8, 206 Bourke Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,10,144.9668712,-37.81267381,Food & Drink,
2023,57,The Paramount 100-116 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Chine On Paramount / Chine Express,"Shop 9-10, LwrGround 100-116 Bourke Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,100,144.9697609,-37.8117268,Food & Drink,
2023,57,107 Little Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Bangkok Jam,107 Little Bourke Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,60,144.9692731,-37.81147787,Food & Drink,
2023,58,47-55 Little Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Crossley St Cantina,30-32 Crossley Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,90,144.9711096,-37.81102403,Food & Drink,
2023,61,21-39 Rose Lane MELBOURNE VIC 3000,Melbourne (CBD),Korean Table,37 Rose Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,20,144.953608,-37.81541879,Food & Drink,
2023,63,428-432 Little Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Little Avenue des Italians,Part Ground 428 Little Bourke Street MELBOURNE VIC 3000,4512,Takeaway Food,Seats - Indoor,12,144.9597266,-37.81392426,Food & Drink,
2023,64,59-61 Hardware Lane MELBOURNE VIC 3000,Melbourne (CBD),Miznon,59-61 Hardware Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,30,144.960973,-37.81338317,Food & Drink,
